0, 8, 0.356181, 0.214094
1, 69, 0.716107, 0.328156
2, 58, 0.714799, 0.376235
3, 45, 0.716172, 0.422540
4, 94, 0.710127, 0.435559
5, 39, 0.708957, 0.436210
6, 81, 0.715174, 0.484633
7, 87, 0.719260, 0.500176
8, 79, 0.720093, 0.472832
9, 39, 0.713339, 0.479409
10, 5, 0.718278, 0.491357
11, 38, 0.706161, 0.494295
12, 12, 0.713733, 0.470535
13, 75, 0.717069, 0.477181
14, 68, 0.716499, 0.496889
15, 17, 0.713190, 0.482165
16, 51, 0.715407, 0.470385
17, 71, 0.722290, 0.502552
18, 15, 0.721169, 0.477740
19, 75, 0.716539, 0.503347
20, 47, 0.720328, 0.506363
21, 33, 0.721332, 0.493667
22, 45, 0.725095, 0.483076
23, 42, 0.720844, 0.451671
24, 56, 0.722403, 0.459107
25, 67, 0.725081, 0.464375
26, 25, 0.729413, 0.462325
27, 96, 0.722667, 0.513601
28, 50, 0.728199, 0.481994
29, 47, 0.728159, 0.478205
30, 65, 0.727785, 0.492254
31, 93, 0.734556, 0.440614
32, 31, 0.721784, 0.443061
33, 26, 0.729818, 0.463609
34, 80, 0.725237, 0.460112
35, 59, 0.733116, 0.442087
36, 29, 0.737702, 0.470450
37, 54, 0.733774, 0.473615
38, 79, 0.735021, 0.459576
39, 10, 0.731212, 0.448084
40, 72, 0.729792, 0.498178
41, 3, 0.726124, 0.486834
42, 90, 0.728072, 0.441736
43, 83, 0.731205, 0.479677
44, 51, 0.725396, 0.484138
45, 62, 0.729818, 0.443817
46, 66, 0.726949, 0.477667
47, 6, 0.723942, 0.470350
48, 65, 0.721832, 0.413937
49, 28, 0.722719, 0.443507
50, 31, 0.720662, 0.456760
