Number of generations, Best fitness, Average fitness 
0, 0.197373, 0.136301
1, 0.393399, 0.217397
2, 0.375033, 0.235008
3, 0.384393, 0.266036
4, 0.398384, 0.257639
5, 0.384218, 0.288043
6, 0.378218, 0.258535
7, 0.389204, 0.294822
8, 0.385633, 0.286146
9, 0.388905, 0.260480
10, 0.385683, 0.263502
11, 0.387036, 0.281593
12, 0.388879, 0.276694
13, 0.389933, 0.281652
14, 0.385869, 0.276824
15, 0.387746, 0.301161
16, 0.385559, 0.285977
17, 0.383910, 0.267891
18, 0.384296, 0.263921
19, 0.387729, 0.263575
20, 0.385844, 0.260461
21, 0.390045, 0.291406
22, 0.395043, 0.305277
23, 0.394778, 0.283151
24, 0.396741, 0.283853
25, 0.392300, 0.280314
26, 0.395816, 0.330376
27, 0.395959, 0.328196
28, 0.397225, 0.347975
29, 0.397443, 0.322392
30, 0.403344, 0.288332
31, 0.407021, 0.277525
32, 0.405033, 0.310153
33, 0.406445, 0.306994
34, 0.407331, 0.312410
35, 0.407424, 0.330204
36, 0.411781, 0.307804
37, 0.409775, 0.289818
38, 0.408311, 0.273670
39, 0.409666, 0.286011
40, 0.408442, 0.254295
41, 0.411014, 0.284219
42, 0.412198, 0.272424
43, 0.410534, 0.264273
44, 0.411173, 0.272726
45, 0.412013, 0.313575
46, 0.412775, 0.289798
47, 0.412175, 0.306146
48, 0.411954, 0.297669
49, 0.413590, 0.298614
50, 0.414017, 0.310974
