Number of generations, Best fitness, Average fitness 
0, 0.209504, 0.133624
1, 0.419010, 0.231557
2, 0.414254, 0.237470
3, 0.419301, 0.259013
4, 0.418631, 0.305345
5, 0.417885, 0.324562
6, 0.427204, 0.335956
7, 0.429319, 0.316939
8, 0.431806, 0.333463
9, 0.429716, 0.338936
10, 0.432974, 0.332012
11, 0.430131, 0.358022
12, 0.431659, 0.324747
13, 0.435039, 0.356678
14, 0.434601, 0.345512
15, 0.431564, 0.333429
16, 0.431785, 0.384800
17, 0.430518, 0.346625
18, 0.430311, 0.363875
19, 0.435217, 0.343023
20, 0.434448, 0.321412
21, 0.433425, 0.356156
22, 0.440669, 0.351807
23, 0.435269, 0.339503
24, 0.436408, 0.313441
25, 0.438465, 0.356909
26, 0.435548, 0.356474
27, 0.436306, 0.361564
28, 0.437548, 0.340831
29, 0.438304, 0.328260
30, 0.439922, 0.347335
31, 0.439219, 0.364399
32, 0.439750, 0.325055
33, 0.439459, 0.335139
34, 0.439197, 0.344175
35, 0.439363, 0.339702
36, 0.439503, 0.331110
37, 0.438497, 0.357787
38, 0.439920, 0.357957
39, 0.438907, 0.336227
40, 0.439159, 0.353716
41, 0.437922, 0.348831
42, 0.438770, 0.357961
43, 0.438532, 0.309628
44, 0.439250, 0.362659
45, 0.439671, 0.357949
46, 0.438915, 0.362368
47, 0.439576, 0.379868
48, 0.439004, 0.375159
49, 0.438138, 0.340269
50, 0.439498, 0.358063
