Number of generations, Best fitness, Average fitness 
0, 0.202547, 0.131029
1, 0.386796, 0.179384
2, 0.403367, 0.205073
3, 0.407485, 0.229298
4, 0.406080, 0.253520
5, 0.411629, 0.267111
6, 0.409879, 0.310211
7, 0.411418, 0.319224
8, 0.412249, 0.296035
9, 0.413458, 0.296208
10, 0.427346, 0.327209
11, 0.425100, 0.336233
12, 0.421292, 0.306403
13, 0.425831, 0.324305
14, 0.424359, 0.305039
15, 0.427379, 0.355390
16, 0.424718, 0.331149
17, 0.426604, 0.328125
18, 0.426346, 0.321351
19, 0.431879, 0.355799
20, 0.430863, 0.356490
21, 0.429209, 0.365539
22, 0.431030, 0.353120
23, 0.428730, 0.370212
24, 0.429931, 0.366401
25, 0.426830, 0.366039
26, 0.425034, 0.349580
27, 0.426733, 0.353790
28, 0.433355, 0.358479
29, 0.425716, 0.295067
30, 0.432433, 0.371905
31, 0.434537, 0.354697
32, 0.431168, 0.367922
33, 0.434846, 0.377726
34, 0.429905, 0.271900
35, 0.433629, 0.332557
36, 0.432638, 0.362840
37, 0.431170, 0.332945
38, 0.435040, 0.354282
39, 0.438068, 0.355124
40, 0.436552, 0.376716
41, 0.435689, 0.343136
42, 0.438006, 0.373855
43, 0.435020, 0.361517
44, 0.439325, 0.358670
45, 0.439827, 0.401950
46, 0.442322, 0.364848
47, 0.441050, 0.374043
48, 0.441545, 0.383551
49, 0.441766, 0.358479
50, 0.441668, 0.372502
